CIE-2014,Herman (2010)
0,0.1313
0.39,0.12893
0.36,0.12665
0.33,0.12799
0,0.12949
0,0.13564
0,0.13221
0,0.12777
0,0.127
0,0.12625
0,0.11895
0,0.12136
0,0.11616
0,0.12855
0,0.13447
0,0.14297
0,0.13693
0,0.13998
0,0.13984
0,0.14439
0,0.14548
0,0.13403
0,0.13376
0,0.12121
0,0.11604
0.3,0.11134
0,0.11812
0,0.11135
0,0.10485
0.27,0.11098
0,0.09764
0,0.10082
0.3,0.10507
0,0.10052
0,0.09639
0.3,0.11189
0.3,0.13152
0,0.12784
0,0.14528
0.3,0.13674
0,0.13165
0,0.127
0,0.13201
0.33,0.12866
0.27,0.12963
0.27,0.13896
0.27,0.13883
0,0.12455
0,0.12568
0,0.12682
0,0.12808
0,0.11773
0,0.11643
0,0.12467
0,0.11894
0,0.11913
0.3,0.12452
0,0.13012
0,0.12923
0.33,0.15418
0,0.15958
0.36,0.14489
0.36,0.12525
0.36,0.14389
0.36,0.17929
0.36,0.18997
0.36,0.20152
0,0.19562
0,0.19002
0,0.15713
0.39,0.17307
0.36,0.18858
0.39,0.1843
0.36,0.18031
0,0.19703
0,0.19947
0,0.21013
0,0.19919
0,0.19252
0,0.19829
0,0.21283
0,0.20447
0,0.19688
0,0.23266
0,0.2099
0,0.24031
0,0.25254
0,0.23861
0,0.23767
0,0.23676
0.42,0.20116
0.42,0.21835
0.42,0.26512
0,0.2439
0.42,0.22455
0.42,0.23698
0,0.25227
0,0.27703
0,0.30546
0.42,0.26951
0,0.24068
0,0.24623
0.42,0.29644
0.42,0.29697
0.42,0.31597
0.42,0.33673
0,0.34928
0.42,0.3107
0.42,0.32677
0.42,0.34982
0.42,0.33535
0.42,0.31428
0,0.33664
0,0.33073
0,0.32569
0,0.30981
0,0.33665
0,0.37475
0,0.37462
0,0.38198
0,0.37957
0,0.37729
0,0.40142
0,0.39386
0,0.39462
0,0.38382
0,0.40619
0,0.3678
0,0.37946
0,0.38848
0,0.39773
0,0.41485
0,0.43382
0,0.44937
0,0.44676
0,0.45889
0,0.45842
0,0.45782
0,0.40232
0,0.49713
0,0.50219
0,0.45651
0,0.45856
0,0.43852
0,0.42014
0,0.44335
0,0.46769
0,0.48045
0,0.49809
0,0.4461
0,0.47107
0,0.49816
0,0.50451
0.7,0.51087
0,0.52262
0.7,0.51691
0,0.48817
0,0.49577
0.7,0.48626
0,0.50036
0,0.5144
0.7,0.51217
0.7,0.50992
0.7,0.54204
0.7,0.57757
0.7,0.59501
0.7,0.60576
0.7,0.61623
0,0.5641
0,0.51932
0,0.51681
0.7,0.52931
0.7,0.54259
0,0.62535
0.7,0.59069
0.7,0.60825
0.7,0.62657
0,0.60567
0.7,0.58605
0.7,0.53413
0.7,0.5623
0.7,0.58608
0,0.57933
0.7,0.57266
0.7,0.55681
0.7,0.54163
0,0.52858
0.7,0.53332
0.7,0.5737
0.7,0.56136
0,0.54948
0.7,0.55972
0.7,0.57094
0.7,0.56699
0.7,0.56272
0.7,0.59369
0.7,0.62997
0,0.54645
0,0.54358
0,0.54065
0,0.57556
0,0.61454
0,0.56959
0,0.54101
0,0.53326
0,0.6049
0,0.60083
0,0.61804
0,0.63609
0,0.6549
0,0.67472
0,0.70173
0,0.68269
0,0.64206
0.7,0.6363
0.7,0.63058
0.7,0.6365
0.7,0.64243
0.7,0.65321
0.7,0.57248
0.7,0.59701
0.7,0.60688
0.7,0.62695
0.7,0.64163
0.7,0.65688
0.7,0.64392
0.7,0.63131
0.7,0.63579
0,0.61753
0,0.60403
0,0.60263
0,0.60118
0,0.61836
0,0.63644
0,0.61189
0,0.61207
0,0.61225
0,0.60745
0,0.60033
0,0.57832
0,0.55739
0,0.57324
0,0.58989
0,0.52004
0,0.54273
0,0.56933
0,0.58177
0,0.5947
0,0.60031
0,0.60598
0,0.56841
0,0.61165
0,0.59412
0,0.58749
0,0.53135
0,0.53978
0,0.54851
0,0.54746
0,0.54634
0,0.54489
0,0.57283
0,0.58116
0,0.57445
0.7,0.56767
0.7,0.53782
0.7,0.51014
0.7,0.49775
0.7,0.46795
0.7,0.479
0.7,0.44718
0,0.47068
0,0.47097
0,0.47125
0,0.47405
0,0.47681
0,0.48497
0,0.47917
0,0.49085
0,0.47077
0,0.45172
0,0.44807
0,0.44436
0,0.43472
0,0.46541
0,0.47678
0,0.45017
0,0.45916
0,0.46486
0,0.47078
0,0.46438
0,0.45799
0,0.40929
0,0.39703
0,0.39867
0,0.40228
0.42,0.4067
0.42,0.4059
0.42,0.40514
0,0.38164
0,0.36609
0,0.38254
0.42,0.36384
0.42,0.38422
0.42,0.38639
0.42,0.38863
0.42,0.37789
0.42,0.36745
0.42,0.36936
0,0.36875
0.42,0.35037
0.42,0.34127
0.42,0.33234
0.42,0.31052
0.42,0.2905
0.42,0.3013
0.42,0.31016
0,0.29013
0,0.23818
0,0.25246
0,0.2536
0.42,0.2549
0.42,0.25957
0.42,0.26452
0.39,0.25325
0.33,0.25595
0,0.26026
0,0.25799
0,0.25565
0,0.25471
0,0.25371
0,0.21687
0,0.23919
0,0.21985
0,0.23248
0.39,0.22865
0.39,0.22996
0.36,0.23143
0,0.2121
0,0.19488
0.36,0.19342
0.36,0.17549
0,0.17571
0.36,0.18457
0,0.19458
0.3,0.17919
0.27,0.16543
0.27,0.15539
0.27,0.16137
0.27,0.16609
0.27,0.16935
0.27,0.17532
0.24,0.18201
0,0.18944
0,0.17703
0,0.16561
0,0.14894
0,0.1341
0,0.15246
0,0.15761
0,0.16317
0,0.15936
0.24,0.15565
0.24,0.14416
0.24,0.14296
0.27,0.14511
0,0.1136
